Agents,X_DIM,Y_DIM,TRIAL_NO,REWARD,NORMALIZED_REWARD,DONE_RATIO,STEPS,ACTION_PROB
6,25,25,644,-1377.9999999999895,-2.434628975264999,0.0,423,[0.95086478 0.00471698 0.04127358 0.00314465 0.        ]
6,40,40,645,-1738.6666666666376,-2.1571546732836695,0.0,651,[0.90260736 0.00766871 0.06365031 0.00613497 0.01993865]
10,25,25,646,-2310.0,-4.052631578947368,0.0,439,[0.84522727 0.01090909 0.05409091 0.00795455 0.08181818]
9,35,35,647,-3066.0,-4.205761316872428,0.0,583,[0.89649924 0.00684932 0.06487823 0.00913242 0.02264079]
8,45,45,648,-3477.0000000000973,-3.91554054054065,0.0,731,[0.89805328 0.00563525 0.07872268 0.00426913 0.01331967]
10,30,30,649,-2445.666666666665,-3.7625641025641,0.0,505,[0.92035573 0.0083004  0.0583004  0.00671937 0.00632411]
6,25,25,650,-1270.3333333333323,-2.244405182567725,0.0,411,"[9.27184466e-01 6.87702265e-03 5.82524272e-02 6.87702265e-03
 8.09061489e-04]"
5,40,40,651,-972.0000000000271,-1.207453416149102,0.0,647,[0.91203704 0.00648148 0.06450617 0.00740741 0.0095679 ]
10,25,25,652,-2530.0000000000055,-4.43859649122808,0.0,439,[0.88954545 0.00863636 0.05704545 0.00590909 0.03886364]
9,30,30,653,-2478.000000000001,-3.8181818181818197,0.0,503,[0.83531746 0.00992063 0.09435626 0.01212522 0.04828042]
6,25,25,654,-1248.0,-2.204946996466431,0.0,415,[0.93429487 0.01121795 0.04166667 0.01282051 0.        ]
9,45,45,655,-3751.5000000000387,-4.219910011248637,0.0,737,[0.90770852 0.0084312  0.06263174 0.00873231 0.01249624]
6,35,35,656,-1991.5,-2.7431129476584024,0.0,568,"[9.44053896e-01 4.10076157e-03 4.71587581e-02 4.10076157e-03
 5.85823081e-04]"
8,40,40,657,-2383.333333333327,-2.949669966996692,0.0,649,[0.91211538 0.00634615 0.06307692 0.0075     0.01096154]
5,25,25,658,-945.0,-1.6725663716814159,0.0,419,[0.94428571 0.00714286 0.03952381 0.00904762 0.        ]
5,45,45,659,-1155.8333333333367,-1.306026365348403,0.0,729,[0.93643836 0.00356164 0.05589041 0.00410959 0.        ]
